match_id,home,away,label,market_source,mkt_p_A,mkt_p_D,mkt_p_H,elo_oof_A,elo_oof_D,elo_oof_H,mkt64_oof_A,mkt64_oof_D,mkt64_oof_H,blendA_oof_A,blendA_oof_D,blendA_oof_H
50,South Africa,South Korea,H,polymarket,0.495,0.275,0.235,0.576292944531199,0.20497179699001938,0.21873525847878167,0.495,0.27499999999999997,0.23499999999999993,0.4231534903133989,0.26124311380072474,0.31560339588587627
51,Switzerland,Canada,H,polymarket,0.275,0.295,0.445,0.21616498218802876,0.3965841579003534,0.38725085991161784,0.27499999999999997,0.295,0.445,0.21502044350955268,0.3693991462391499,0.4155804102512974
52,Bosnia and Herzegovina,Qatar,H,p_model,0.4339,0.2823,0.2838,0.13404239534006138,0.34226277561593327,0.5236948290440053,0.43390000000000006,0.28230000000000005,0.28379999999999994,0.25108494907327217,0.31964067233373317,0.42927437859299455
53,Scotland,Brazil,A,polymarket,0.665,0.205,0.14,0.7874111168898935,0.099521292340231,0.11306759076987553,0.665,0.20500000000000002,0.14000000000000004,0.6089243951058351,0.1746549046668872,0.2164207002272777
54,Morocco,Haiti,H,polymarket,0.095,0.175,0.745,0.0060261746482923335,0.32795560721707695,0.6660182181346308,0.09499999999999999,0.17500000000000002,0.745,0.03324793404179662,0.3202248349742171,0.6465272309839862
55,Türkiye,USA,H,polymarket,0.385,0.275,0.365,0.5823618683117933,0.2412083408700456,0.1764297908181611,0.38499999999999995,0.27499999999999997,0.36500000000000005,0.3557358547224261,0.3228503413013527,0.3214138039762212
56,Paraguay,Australia,D,polymarket,0.265,0.305,0.445,0.2865828423646557,0.29218363766296,0.42123351997238423,0.26500000000000007,0.30500000000000005,0.445,0.18855991185224005,0.3177679891184642,0.4936720990292958
57,Ecuador,Germany,H,polymarket,0.575,0.245,0.195,0.35343101684388356,0.2904575512494322,0.3561114319066843,0.5750000000000001,0.24500000000000005,0.19500000000000003,0.4144974277774849,0.26753149681168786,0.31797107541082736
58,Curaçao,Côte d'Ivoire,A,polymarket,0.785,0.145,0.075,0.6624838333562206,0.15781189226156805,0.17970427438221134,0.785,0.145,0.07499999999999998,0.7213879822224344,0.12560560247015884,0.1530064153074067
59,Tunisia,Netherlands,A,polymarket,0.665,0.225,0.135,0.7279796324209846,0.13216532937962375,0.13985503819939157,0.665,0.22500000000000003,0.135,0.6028645967092457,0.18167814506560803,0.21545725822514625
60,Japan,Sweden,D,polymarket,0.265,0.285,0.465,0.11203210105462798,0.3410826548500183,0.5468852440953538,0.26500000000000007,0.28500000000000003,0.46499999999999997,0.14759394152606858,0.32495093058203117,0.5274551278919002
61,New Zealand,Belgium,A,polymarket,0.755,0.155,0.085,0.9223496663153614,0.040446115110420594,0.03720421857421806,0.755,0.155,0.08499999999999999,0.7574341506783718,0.11453540276022774,0.12803044656140034
62,Egypt,IR Iran,D,polymarket,0.265,0.315,0.445,0.3636138869662996,0.26089593623552754,0.375490176798173,0.26500000000000007,0.315,0.445,0.21125276125544107,0.3154631453293192,0.47328409341523975
63,Uruguay,Spain,A,polymarket,0.595,0.245,0.175,0.48900451454446114,0.22287035702533914,0.28812512843019966,0.5949999999999999,0.24500000000000005,0.17500000000000002,0.4797538305611025,0.22397632695420513,0.2962698424846924
64,Cabo Verde,Saudi Arabia,D,p_model,0.3865,0.3317,0.2818,0.194269586621331,0.31605074778208997,0.48967966559657905,0.38649999999999995,0.33170000000000005,0.2818,0.25682588250867994,0.3007018390773939,0.4424722784139261
